User-Facing Module Name,Technical Module Name,User-Facing Field Name,Technical Field Name,Data Source / Type,Primary Linkage (if applicable),Change Type,Notes / UI Consideration,helper
Schools,schools,NCES ID,nces_id,Stored (Text),,Data exists,,SchoolsNCES ID
Schools,schools,NCES School Link,nces_link,Stored (URL),,Data exists,,SchoolsNCES School Link
Schools,schools,Phone,phone,Stored (Phone),,New addition,,SchoolsPhone
Schools,schools,District,district_id,Stored (Lookup to Districts),To Districts via district_id (Zoho ID),Data exists,"Displays District Name, searchable by Name. Stores Zoho Record ID of the District.",SchoolsDistrict
Schools,schools,Setting,setting,Stored (Picklist),,Data exists,City; Suburban Town; Rural (From NCES),SchoolsSetting
Schools,schools,Type,school_type,Stored (Picklist),,Data exists,"Regular; Special Education; Other/Alternative (From NCES, include charter distinction)",SchoolsType
Schools,schools,Size,school_size,Stored (Text/Number),,Data exists,,SchoolsSize
Schools,schools,Grades Served,school_grades,Stored (Text),,Data exists,"e.g., K-5, 6-8, 9-12.",SchoolsGrades Served
Schools,schools,City,city,Stored (Text),,Data exists,,SchoolsCity
Schools,schools,State,state,Stored (Picklist),,Data exists,Standard US States and Territories list.,SchoolsState
Schools,schools,Street,street,Stored (Text),,Data exists,,SchoolsStreet
Schools,schools,Zip Code,zip_code,Stored (Text),,Data exists,,SchoolsZip Code
Schools,schools,Website,website,Stored (URL),,Data exists,,SchoolsWebsite
Schools,schools,Stars Currently Attending,(N/A),Related List (Visual) / Custom View,Shows stars records where stars.school_id (Zoho ID) matches,Non-stored data,,SchoolsStars Currently Attending
Schools,schools,Star School History,(N/A),Related List (Visual),Shows star_school records linked to this school,Non-stored data,All Stars ever associated with this school.,SchoolsStar School History
Schools,schools,Created By,(Zoho System Field),System (Zoho Managed),,Non-stored data,,SchoolsCreated By
Schools,schools,Modified By,(Zoho System Field),System (Zoho Managed),,Non-stored data,,SchoolsModified By
Star-School Associations,star_school,Star-School Record ID (Zoho ID),star_school_id (represents Zoho PK for the junction record),System (Zoho Primary Key),(N/A - is PK),Non-stored data,Zoho's unique system-generated ID for this association record.,Star-School AssociationsStar-School Record ID (Zoho ID)
Star-School Associations,star_school,Star,star_id,Stored (Lookup to Stars),To Stars via star_id (Zoho ID),Data exists,"Mandatory. Displays Star Name, searchable by Name and NMS Star ID. Stores Zoho Record ID of the Star.",Star-School AssociationsStar
Star-School Associations,star_school,School,school_id,Stored (Lookup to Schools),To Schools via school_id (Zoho ID),Data exists,"Mandatory. Displays School Name, searchable by Name. Stores Zoho Record ID of the School.",Star-School AssociationsSchool
Star-School Associations,star_school,Start Date,start_date,Stored (Date),,Data exists,Date Star started at this school. Mandatory.,Star-School AssociationsStart Date
Star-School Associations,star_school,End Date,end_date,Stored (Date),,Data exists,Date Star left this school (if applicable).,Star-School AssociationsEnd Date
Star-School Associations,star_school,Status,status,Stored (Picklist),,Data exists,Current; Past,Star-School AssociationsStatus
Star-School Associations,star_school,Created By,(Zoho System Field),System (Zoho Managed),,Non-stored data,,Star-School AssociationsCreated By
