Record Id,Partner Name,Phone,Email,Website,GL Account,Partner Owner.id,Partner Owner,Created By.id,Created By,Modified By.id,Modified By,Created Time,Modified Time,Street,City,Zip Code,Country,Description,Tag,Locked,Email Opt Out,Unsubscribed Mode,Unsubscribed Time,Show Admin,Partner Type,State_,Last Activity Time
zcrm_6229020000017877011,Northwest ISD,,,,,zcrm_6229020000009645001,Kayla Heyward,zcrm_6229020000009645001,Kayla Heyward,zcrm_6229020000009645001,Kayla Heyward,2025-03-27 11:01:28,2025-03-27 11:01:28,,,,,,,false,false,,,false,,,
zcrm_6229020000017877021,Northwest ISD (DFW),,,,,zcrm_6229020000009645001,Kayla Heyward,zcrm_6229020000009645001,Kayla Heyward,zcrm_6229020000009645001,Kayla Heyward,2025-03-27 11:01:37,2025-03-27 11:01:37,,,,,,,false,false,,,false,,,
zcrm_6229020000018340041,Orlando Science Center,,,,,zcrm_6229020000000460001,Ambika Dani,zcrm_6229020000000460001,Ambika Dani,zcrm_6229020000000460001,Ambika Dani,2025-03-31 06:29:41,2025-03-31 06:29:41,,,,,,,false,false,,,false,,,
zcrm_6229020000019523006,Rice University,,,,,zcrm_6229020000009645001,Kayla Heyward,zcrm_6229020000009645001,Kayla Heyward,zcrm_6229020000009645001,Kayla Heyward,2025-04-09 09:18:52,2025-04-09 09:18:52,,,,,,,false,false,,,false,,,
zcrm_6229020000020202011,Bridge to Enter Advanced Mathematics (BEAM),,,,,zcrm_6229020000000460001,Ambika Dani,zcrm_6229020000000460001,Ambika Dani,zcrm_6229020000000460001,Ambika Dani,2025-04-15 08:49:52,2025-04-15 08:49:52,,,,,,,false,false,,,false,,,
zcrm_6229020000020204016,Camp Lemma,,,,,zcrm_6229020000009645001,Kayla Heyward,zcrm_6229020000009645001,Kayla Heyward,zcrm_6229020000009645001,Kayla Heyward,2025-04-15 10:50:21,2025-04-15 10:50:21,,,,,,,false,false,,,false,,,
zcrm_6229020000020364016,The Daily Challenge with Po-Shen Loh,,,,,zcrm_6229020000009645001,Kayla Heyward,zcrm_6229020000009645001,Kayla Heyward,zcrm_6229020000009645001,Kayla Heyward,2025-04-16 10:52:40,2025-04-16 10:52:40,,,,,,,false,false,,,false,,,
zcrm_6229020000020904044,Campersand,,,,,zcrm_6229020000000460001,Ambika Dani,zcrm_6229020000000460001,Ambika Dani,zcrm_6229020000000460001,Ambika Dani,2025-04-21 22:36:21,2025-04-21 22:36:21,,,,,,,false,false,,,false,,,
zcrm_6229020000020904079,CU Boulder,,,,,zcrm_6229020000000460001,Ambika Dani,zcrm_6229020000000460001,Ambika Dani,zcrm_6229020000000460001,Ambika Dani,2025-04-21 22:40:20,2025-04-21 22:40:20,,,,,,,false,false,,,false,,,
zcrm_6229020000020904166,UT Austin,,,,,zcrm_6229020000000460001,Ambika Dani,zcrm_6229020000000460001,Ambika Dani,zcrm_6229020000000460001,Ambika Dani,2025-04-21 22:46:27,2025-04-21 22:46:27,,,,,,,false,false,,,false,,,
zcrm_6229020000020904176,Baylor TIP,,,,,zcrm_6229020000000460001,Ambika Dani,zcrm_6229020000000460001,Ambika Dani,zcrm_6229020000000460001,Ambika Dani,2025-04-21 22:46:41,2025-04-21 22:46:41,,,,,,,false,false,,,false,,,
zcrm_6229020000020904186,Longview Learning Micro School,,,,,zcrm_6229020000000460001,Ambika Dani,zcrm_6229020000000460001,Ambika Dani,zcrm_6229020000000460001,Ambika Dani,2025-04-21 22:46:47,2025-04-21 22:46:47,,,,,,,false,false,,,false,,,
zcrm_6229020000022224011,Lavner,,,,,zcrm_6229020000009645001,Kayla Heyward,zcrm_6229020000009645001,Kayla Heyward,zcrm_6229020000009645001,Kayla Heyward,2025-04-30 09:44:16,2025-04-30 09:44:16,,,,,,,false,false,,,false,,,
